Label,Text
Recommendation,"I would recommend Georges Perec's Life: A User's Manual. It's a lengthy and delightful and bewildering book that chronicles what happens in a single apartment building in Paris on a single day in the 1970s, though there are lots of digressions into the past, and the future, and to other locales. Perec was a member of the OULIPO group, who were a bunch of interesting, often mathematically-minded authors who were determined to discover the fullest possible scope of ""literature under constraint."" Some would write stuff using only certain letters; some would take the same basic plot and rewrite it in a hundred different forms; some (like Perec, in this case) would develop enormous lists of objects, people, and places - and then set them against a rigorous chart based on a ""knight's tour"" (like in Chess) of a hundred-square board - with the firm intention of including all of them in the final work, in a highly specific but also random order. Unlike certain others who would do such things out of spite for the general reader, Perec and his compatriots took as one of their first principles the idea that whatever literature resulted from their plans had to be entertaining. Anyway, it is a long, beautiful, hilarious, sad, unusual book, in which any number of weird and awesome things happen. I recommend it unreservedly to anyone in the entire world. You will not regret it."
Recommendation,"D.H. Lawrence - Lady Chatterly's Lover. Seriously, give this book a read."
Recommendation,This is tough but the book that came to mind immediately is Still Life with Woodpecker by Tom Robbins so I'll go with that.
Recommendation,"Lord of the Rings. I can call it one book because I have a giant hardcover containing FOTR, TTT, and ROTK in one binding. It is the one piece of fiction I will never tire of."
Recommendation,"For years it has been Dune. It has such a good mix of sci-fi, espionage, mystery, religion, politics, etc. and is so intricately woven, it's a real masterpiece. Lately though, I've found that The Time Traveler's Wife is actually the most universally accessible book I've read, while still being one of my favorites. Probably the most ""realistic"" depiction of what a real person's life might be like if he could time travel, takes on the whole timeline thing perfectly, and still manages to be a fantastic story."
Recommendation,"If we're talking just a general recommendation, then as usual, my all time favorite: Alice In Wonderland and Through The Looking Glass. If we're talking the only book that person would ever be allowed to read. Then... hm... either Schopenhauer's Essays and Aphorisms or Dei delitti e delle pene (On Crimes and Punishments) by Cessare Beccaria. If a collection is allowed: then my 9-volume edition of World's Greatest Essays, but it's been out of print since 1901. Or the collected works of Shakespeare are equally enlightening."
Recommendation,"It depends on who are you recommending the book to, but one thing is sure for me: EVERY musician should read ""Silence"" by John Cage."
Recommendation,I was going to say Dune but I already see it on here. Since I don't see it yet I would say the Hobbit. I know it's not the best written book. Though something about a story with an unlikely hero I think will resonate with a lot of people.
Recommendation,"The Bible. Anybody who believes it is a relevant source of contemporary morality obviously hasn't read it, and so I recommend it."
Recommendation,Kite Runner. An intense book to read
